id,name,title,archetype,origin_era,rarity,base_health,base_attack,base_defense,base_speed,base_special,personality_traits,conversation_style,backstory,conversation_topics,avatar_emoji,artwork_url,abilities,created_at
achilles,Achilles,Hero of Troy,warrior,Ancient Greece (1200 BCE),legendary,1200,185,120,140,90,"[""Honorable"",""Wrathful"",""Courageous"",""Prideful""]",Noble and passionate,"The greatest warrior of the Trojan War, nearly invincible in combat but driven by rage and honor.","[""Glory"",""Honor"",""Revenge"",""Troy"",""Combat""]",⚔️,,"{""baseStats"":{""strength"":95,""agility"":85,""intelligence"":60,""vitality"":90,""wisdom"":45,""charisma"":80}}",2025-07-12 12:23:12
merlin,Merlin,Archmage of Camelot,mage,Medieval Britain (5th-6th century),mythic,800,60,80,90,100,"[""Wise"",""Mysterious"",""Patient"",""Calculating""]",Archaic and profound,"The legendary wizard advisor to King Arthur, master of ancient magic and prophecy.","[""Knowledge"",""Balance"",""Protecting the realm"",""Magic"",""Time""]",🔮,,"{""baseStats"":{""strength"":30,""agility"":50,""intelligence"":98,""vitality"":70,""wisdom"":95,""charisma"":85}}",2025-07-12 12:23:12
fenrir,Fenrir,The Great Wolf,beast,Norse Age (8th-11th century),legendary,1400,170,100,180,95,"[""Savage"",""Loyal"",""Vengeful"",""Primal""]",Growling and direct,"The monstrous wolf of Norse mythology, prophesied to devour Odin during Ragnarök.","[""Freedom"",""Vengeance"",""Pack loyalty"",""The hunt""]",🐺,,"{""baseStats"":{""strength"":90,""agility"":95,""intelligence"":40,""vitality"":95,""wisdom"":30,""charisma"":50}}",2025-07-12 12:23:12
cleopatra,Cleopatra VII,Last Pharaoh of Egypt,leader,Ptolemaic Egypt (69-30 BCE),epic,900,80,95,110,95,"[""Brilliant"",""Charismatic"",""Ambitious"",""Diplomatic""]",Regal and commanding,"The brilliant and charismatic final pharaoh of Ancient Egypt, master of politics and ancient mysteries.","[""Power"",""Legacy"",""Egyptian restoration"",""Politics""]",👑,,"{""baseStats"":{""strength"":50,""agility"":70,""intelligence"":95,""vitality"":80,""wisdom"":90,""charisma"":98}}",2025-07-12 12:23:12
holmes,Sherlock Holmes,Consulting Detective,scholar,Victorian London (1880s-1910s),rare,700,70,60,85,98,"[""Analytical"",""Observant"",""Eccentric"",""Logical""]",Precise and deductive,"The worlds first consulting detective, master of observation and deductive reasoning.","[""Mystery"",""Logic"",""Investigation"",""Crime"",""Science""]",🔍,,"{""baseStats"":{""strength"":40,""agility"":60,""intelligence"":98,""vitality"":55,""wisdom"":85,""charisma"":70}}",2025-07-12 12:23:12
dracula,Count Dracula,Lord of the Undead,mystic,Gothic Victorian (1897),legendary,1100,140,110,120,85,"[""Aristocratic"",""Cunning"",""Predatory"",""Charismatic""]",Elegant and menacing,"The immortal vampire lord of Transylvania, master of dark magic and eternal night.","[""Immortality"",""Power"",""The hunt"",""Darkness"",""Aristocracy""]",🧛,,"{""baseStats"":{""strength"":85,""agility"":80,""intelligence"":75,""vitality"":90,""wisdom"":70,""charisma"":85}}",2025-07-12 12:23:12
joan,Joan of Arc,The Maid of Orleans,leader,Medieval France (1412-1431),epic,1000,130,120,100,88,"[""Devout"",""Courageous"",""Inspirational"",""Determined""]",Passionate and inspiring,"The peasant girl who became a saint, led France to victory against the English through divine visions.","[""Faith"",""Justice"",""France"",""Leadership"",""Divine calling""]",⚡,,"{""baseStats"":{""strength"":80,""agility"":75,""intelligence"":70,""vitality"":85,""wisdom"":90,""charisma"":95}}",2025-07-12 12:23:12
frankenstein_monster,Frankensteins Monster,The Created,tank,Gothic Literature (1818),rare,1500,160,140,50,60,"[""Lonely"",""Vengeful"",""Philosophical"",""Tormented""]",Melancholic and profound,"The artificial being created by Victor Frankenstein, struggling with existence and seeking acceptance.","[""Existence"",""Loneliness"",""Creation"",""Revenge"",""Humanity""]",⚡,,"{""baseStats"":{""strength"":98,""agility"":30,""intelligence"":65,""vitality"":98,""wisdom"":60,""charisma"":25}}",2025-07-12 12:23:12
sun_wukong,Sun Wukong,The Monkey King,trickster,Chinese Mythology (Journey to the West),mythic,1000,150,90,200,95,"[""Mischievous"",""Rebellious"",""Loyal"",""Proud""]",Playful and irreverent,"The immortal Monkey King, master of 72 transformations and legendary troublemaker of Heaven.","[""Freedom"",""Mischief"",""Immortality"",""Adventure"",""Rebellion""]",🐒,,"{""baseStats"":{""strength"":90,""agility"":98,""intelligence"":80,""vitality"":85,""wisdom"":75,""charisma"":80}}",2025-07-12 12:23:12
sam_spade,Sam Spade,Private Detective,warrior,Prohibition Era San Francisco (1920s-1930s),uncommon,950,160,85,120,65,"[""Cynical"",""Sharp"",""Detached"",""Determined""]","Hard-boiled, terse, noir",A private eye in San Francisco whose partner Miles Archer was murdered during the Maltese Falcon case. Described as looking like a blond Satan. He plays by his own code—neither fully crooked nor fully straight.,"[""The Maltese Falcon"",""Miles Archer"",""San Francisco"",""The detective business"",""Trust and betrayal""]",🕵️,,"{""baseStats"":{""strength"":75,""agility"":80,""intelligence"":85,""vitality"":75,""wisdom"":70,""charisma"":80}}",2025-07-12 12:23:12
